feature_id_original	feature_id_standardized	ortholog_reference	mapping_confidence	mapping_release	mapping_evidence	candidate_current_gene_id	legacy_scaffold	legacy_refseq_accession	legacy_start	legacy_end	legacy_strand	legacy_description	legacy_ncbi_gene_id	ncbi_replacement_gene_id	legacy_ncbi_start	legacy_ncbi_end	overlap_bp	legacy_coverage	legacy_ncbi_coverage	current_symbol	current_description	current_refseq_accession	current_start	current_end	current_strand	candidate_overlap_count
CGI_10020949	CGI_10020949		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement		scaffold1736	NW_011936942.1	44144	44524	-		105344619				381	1.0	0.055923							
CGI_10021245	NCBI:GeneID:105347437		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold157	NW_011937207.1	341538	342971	+		105347437		341013	347974	1434	1.0	0.205975	LOC105347437	uncharacterized LOC105347437	NC_088859.1	38739258	38746267	-	1
CGI_10021590	CGI_10021590		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold237	NW_011937642.1	661741	674827	+	Dpy-19-like protein 3  [Source:UniProtKB/TrEMBL;Acc:K1R1G3]														2
CGI_10021953	NCBI:GeneID:105344245		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1086	NW_011936912.1	657822	659941	-		105344245		657683	660056	2120	1.0	0.893008	LOC105344245	uncharacterized LOC105344245	NC_088854.1	49214151	49246778	-	1
CGI_10022003	CGI_10022003		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	ambiguous_multiple_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold721	NW_011935145.1	405492	410531	+	Collagen alpha-1(XII) chain  [Source:UniProtKB/TrEMBL;Acc:K1RHA0]														2
CGI_10022648	CGI_10022648		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1360	NW_011934984.1	336449	337597	-	Serpin B8  [Source:UniProtKB/TrEMBL;Acc:K1Q946]														0
CGI_10022740	NCBI:GeneID:105340479		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold365	NW_011936474.1	478293	489589	-	CD2-associated protein  [Source:UniProtKB/TrEMBL;Acc:K1QWQ4]	105340479		457521	489690	11297	1.0	0.351166	LOC105340479	SH3 domain-containing kinase-binding protein 1	NC_088861.1	9093381	9122617	+	1
CGI_10022807	NCBI:GeneID:105331506		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		scaffold413	NW_011936049.1	518859	522982	-	28 kDa heat-and acid-stable phosphoprotein  [Source:UniProtKB/TrEMBL;Acc:K1QU88]	105336467	105331506	517681	522901	4043	0.980359	0.774373	LOC105331506	28 kDa heat- and acid-stable phosphoprotein	NC_088859.1	50851078	50869349	+	1
CGI_10022884	NCBI:GeneID:105340536		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold144	NW_011936476.1	148351	174013	+		105340536		147444	174125	25663	1.0	0.961809	LOC105340536	T-cell activation inhibitor, mitochondrial	NC_088855.1	6089681	6095741	+	1
CGI_10022921	CGI_10022921		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	multiple_selected_legacy_features_map_to_same_current_gene	NCBI:GeneID:105340347	scaffold950	NW_011934809.1	120921	143232	+	Ankyrin repeat domain-containing protein 54  [Source:UniProtKB/TrEMBL;Acc:K1QS08]	105340347		114408	146280	22312	1.0	0.700028	LOC105340347	uncharacterized LOC105340347	NC_088855.1	25058424	25098381	-	1
CGI_10022922	CGI_10022922		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	multiple_selected_legacy_features_map_to_same_current_gene	NCBI:GeneID:105340347	scaffold950	NW_011934809.1	143933	145852	+		105340347		114408	146280	1920	1.0	0.060239	LOC105340347	uncharacterized LOC105340347	NC_088855.1	25058424	25098381	-	1
CGI_10022941	NCBI:GeneID:105347705		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		scaffold169	NW_011938047.1	56211	57964	+	Galectin-8  [Source:UniProtKB/TrEMBL;Acc:K1R419]	105322758	105347705	47671	58453	1754	1.0	0.162663	LOC105347705	galectin-4	NC_088858.1	19350766	19358501	-	1
CGI_10023314	CGI_10023314		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1132	NW_011935736.1	207782	231438	-	Receptor-type tyrosine-protein phosphatase gamma  [Source:UniProtKB/TrEMBL;Acc:K1R7L2]														1
CGI_10023468	CGI_10023468		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	ncbi_replacement_gene_absent_from_current_annotation		scaffold1149	NW_011937968.1	494232	495588	+	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3  [Source:UniProtKB/TrEMBL;Acc:K1Q099]	105322095	109619687			1357	1.0	0.753052							
CGI_10023822	NCBI:GeneID:105324940		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1189	NW_011942122.1	544504	556179	-	Formin-binding protein 1-like protein  [Source:UniProtKB/TrEMBL;Acc:K1PYZ6]	105324940		541930	566976	11676	1.0	0.466164	LOC105324940	formin-binding protein 1-like	NC_088854.1	28736821	28761961	+	1
CGI_10024054	NCBI:GeneID:105329159		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1741	NW_011935294.1	828645	830552	-		105329159		828330	830574	1908	1.0	0.849889	LOC105329159	hypothetical protein	NC_088861.1	43903921	43906084	+	1
CGI_10024064	NCBI:GeneID:109617077		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold801	NW_011935060.1	99805	103731	+	Rho-related protein racA  [Source:UniProtKB/TrEMBL;Acc:K1Q7G0]	109617077		99691	104475	3927	1.0	0.82069	LOC109617077	rho-related protein racA	NC_088857.1	3622702	3630226	+	1
CGI_10024254	NCBI:GeneID:105321505		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1219	NW_011937913.1	183505	190496	-		105321505		182805	190589	6992	1.0	0.898137	LOC105321505	uncharacterized LOC105321505	NC_088855.1	57429950	57435629	-	1
CGI_10024459	CGI_10024459		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_ncbi_gene_discontinued_without_current_replacement		scaffold271	NW_011935627.1	165937	177544	-	Tyrosine-protein kinase receptor Tie-1  [Source:UniProtKB/TrEMBL;Acc:K1RWM2]	105332011				8782	0.756547	0.656696							
CGI_10024482	NCBI:GeneID:105332034		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold271	NW_011935627.1	487379	491547	+		105332034		487225	493890	4169	1.0	0.625413	LOC105332034	uncharacterized LOC105332034	NC_088855.1	54378096	54384688	-	1
CGI_10025961	CGI_10025961		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	no_unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold334	NW_011936558.1	747173	764883	-															1
CGI_10026192	NCBI:GeneID:105337015		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1154	NW_011936103.1	818627	819951	-		105337015		818162	820131	1325	1.0	0.672589	LOC105337015	uncharacterized LOC105337015	NC_088858.1	47521697	47523667	-	1
CGI_10026304	NCBI:GeneID:105345814		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1836	NW_011937073.1	760238	761170	-	CCAAT/enhancer-binding protein delta  [Source:UniProtKB/TrEMBL;Acc:K1PR50]	105345814		760008	761190	933	1.0	0.788673	LOC105345814	CCAAT/enhancer-binding protein beta	NC_088855.1	53584825	53586014	-	1
CGI_10026431	NCBI:GeneID:105326482		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold100	NW_011935061.1	377668	378195	+		105326482		377319	378471	528	1.0	0.457936	LOC105326482	uncharacterized LOC105326482	NC_088855.1	14138594	14139730	+	1
CGI_10026819	CGI_10026819		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
CGI_10026860	CGI_10026860		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	ncbi_replacement_gene_absent_from_current_annotation		scaffold601	NW_011935931.1	1189785	1192006	+	Putative inhibitor of apoptosis  [Source:UniProtKB/TrEMBL;Acc:K1R0S8]	105335321	105337800			2222	1.0	0.255667							
CGI_10027146	NCBI:GeneID:105325026		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold1599	NW_011942124.1	348384	369888	+		105325026		350799	393498	19090	0.887701	0.447073	LOC105325026	kin of IRRE-like protein 1	NC_088854.1	55287290	55333859	+	1
CGI_10027667	NCBI:GeneID:105332364		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold962	NW_011935648.1	835953	839633	-		105332364		833639	842709	3681	1.0	0.405799	LOC105332364	contactin-2	NC_088854.1	58021601	58027693	+	1
CGI_10027877	NCBI:GeneID:105347888		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold257	NW_011937279.1	66466	71796	+	Kyphoscoliosis peptidase  [Source:UniProtKB/TrEMBL;Acc:K1R7C8]	105347888		65117	71926	5331	1.0	0.782819	LOC105347888	lim and transglutaminase domain protein ltd-1	NC_088858.1	5799459	5806219	+	1
CGI_10027954	NCBI:GeneID:105323449		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_coordinate_overlap_to_discontinued_ncbi_gene_then_ncbi_currentid		scaffold257	NW_011937279.1	1437434	1442141	-	Haloacid dehalogenase-like hydrolase domain-containing protein 1A  [Source:UniProtKB/TrEMBL;Acc:K1RE08]	105347971	105323449	1436010	1442176	4708	1.0	0.763418	LOC105323449	pseudouridine-5'-phosphatase	NC_088860.1	15000619	15014045	-	1
CGI_10028184	NCBI:GeneID:105348472		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold86	NW_011937337.1	1007051	1026538	-	Thyroid peroxidase  [Source:UniProtKB/TrEMBL;Acc:K1S3K5]	105348472		1006995	1017167	10117	0.51914	0.994495	LOC105348472	immunoglobulin superfamily member 22-like	NC_088859.1	27354648	27399442	+	1
CGI_10028633	NCBI:GeneID:105328475		inferred	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	unique_same_strand_legacy_coverage_ge_0.8_or_reciprocal_ge_0.5		scaffold150	NW_011935256.1	954138	954808	+	Ras-related protein Rac1  [Source:UniProtKB/TrEMBL;Acc:K1RB78]	105328475		954068	955212	671	1.0	0.586026	LOC105328475	cdc42 homolog	NC_088858.1	5481975	5483108	+	1
Crassostrea_gigas_newGene_10925	Crassostrea_gigas_newGene_10925		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_10935	Crassostrea_gigas_newGene_10935		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_11340	Crassostrea_gigas_newGene_11340		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_11355	Crassostrea_gigas_newGene_11355		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_15457	Crassostrea_gigas_newGene_15457		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_19207	Crassostrea_gigas_newGene_19207		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_20835	Crassostrea_gigas_newGene_20835		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_21273	Crassostrea_gigas_newGene_21273		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_21468	Crassostrea_gigas_newGene_21468		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_21475	Crassostrea_gigas_newGene_21475		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_24150	Crassostrea_gigas_newGene_24150		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_25568	Crassostrea_gigas_newGene_25568		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_2560	Crassostrea_gigas_newGene_2560		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_2604	Crassostrea_gigas_newGene_2604		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_26515	Crassostrea_gigas_newGene_26515		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_27362	Crassostrea_gigas_newGene_27362		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_28	Crassostrea_gigas_newGene_28		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_28773	Crassostrea_gigas_newGene_28773		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_30349	Crassostrea_gigas_newGene_30349		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_32107	Crassostrea_gigas_newGene_32107		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_33204	Crassostrea_gigas_newGene_33204		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_3329	Crassostrea_gigas_newGene_3329		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_33348	Crassostrea_gigas_newGene_33348		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_35755	Crassostrea_gigas_newGene_35755		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_35804	Crassostrea_gigas_newGene_35804		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_36459	Crassostrea_gigas_newGene_36459		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_37076	Crassostrea_gigas_newGene_37076		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_39776	Crassostrea_gigas_newGene_39776		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_40298	Crassostrea_gigas_newGene_40298		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_41241	Crassostrea_gigas_newGene_41241		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_4961	Crassostrea_gigas_newGene_4961		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_5042	Crassostrea_gigas_newGene_5042		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_5827	Crassostrea_gigas_newGene_5827		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_6381	Crassostrea_gigas_newGene_6381		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_6745	Crassostrea_gigas_newGene_6745		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_788	Crassostrea_gigas_newGene_788		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_7956	Crassostrea_gigas_newGene_7956		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
Crassostrea_gigas_newGene_9842	Crassostrea_gigas_newGene_9842		unresolved	cgigas_cgi_to_ncbi_gene_rs2024_06_v1	legacy_novel_gene_no_genomic_model																					
