feature_id_standardized	gene_symbol	description	gene_biotype	annotation_release
NCBI:GeneID:136273934	LOC136273934	uncharacterized LOC136273934	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341398	LOC105341398	enhancer of polycomb homolog 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341016	LOC105341016	homeobox protein unc-4 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317261	LOC105317261	angiopoietin-related protein 6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339007	LOC105339007	calpain-15	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271443	LOC136271443	uncharacterized LOC136271443	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330130	LOC105330130	large ribosomal subunit protein uL4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109617194	LOC109617194	tripartite motif-containing protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117681259	LOC117681259	uncharacterized LOC117681259	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327910	LOC105327910	protocadherin Fat 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339411	LOC105339411	aromatic-L-amino-acid decarboxylase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344592	LOC105344592	cylicin-1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105324927	LOC105324927	contactin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325422	LOC105325422	voltage-gated purine nucleotide uniporter SLC17A9	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117681365	LOC117681365	toll-like receptor 13	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333754	LOC105333754	uncharacterized LOC105333754	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344112	LOC105344112	sarcalumenin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346167	LOC105346167	mitogen-activated protein kinase-binding protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338897	LOC105338897	condensin complex subunit 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342217	LOC105342217	peroxidase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326470	LOC105326470	uncharacterized LOC105326470	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320392	LOC105320392	zinc finger protein-like 1 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274624	LOC136274624	uncharacterized LOC136274624	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334592	LOC105334592	uncharacterized LOC105334592	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117685870	LOC117685870	uncharacterized LOC117685870	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117684793	LOC117684793	N-lysine methyltransferase KMT5A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271813	LOC136271813	uncharacterized LOC136271813	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338019	LOC105338019	uncharacterized LOC105338019	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335489	LOC105335489	tropomyosin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687818	LOC117687818	uncharacterized LOC117687818	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343866	LOC105343866	paramyosin-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117686034	LOC117686034	uncharacterized LOC117686034	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117684849	LOC117684849	protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325948	LOC105325948	transient receptor potential cation channel subfamily M member-like 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328158	LOC105328158	receptor-type tyrosine-protein phosphatase epsilon	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329656	LOC105329656	serine-rich adhesin for platelets	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346898	LOC105346898	mucin-22	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271726	LOC136271726	uncharacterized LOC136271726	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105319118	LOC105319118	plexin A3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337742	LOC105337742	muscle LIM protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329007	LOC105329007	short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334910	LOC105334910	uncharacterized LOC105334910	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317230	LOC105317230	uncharacterized LOC105317230	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105324929	LOC105324929	KAT8 regulatory NSL complex subunit 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345149	LOC105345149	delta-like protein A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331921	LOC105331921	toll-like receptor 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335424	LOC105335424	cdc42 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344586	LOC105344586	protein kinase C-binding protein NELL1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326847	LOC105326847	uncharacterized LOC105326847	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338604	LOC105338604	large ribosomal subunit protein uL18	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342922	LOC105342922	3-oxo-5-alpha-steroid 4-dehydrogenase 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347463	LOC105347463	E3 ubiquitin-protein ligase rnf146	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105324495	LOC105324495	uncharacterized LOC105324495	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321552	LOC105321552	heat shock 70 kDa protein 12B	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348857	LOC105348857	mediator of RNA polymerase II transcription subunit 12-like protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117690977	LOC117690977	uncharacterized LOC117690977	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274608	LOC136274608	uncharacterized LOC136274608	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331456	LOC105331456	organic cation transporter protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336007	LOC105336007	tumor susceptibility gene 101 protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326796	LOC105326796	26S proteasome regulatory subunit 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332119	LOC105332119	kinesin-related protein 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335683	LOC105335683	uncharacterized LOC105335683	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347553	LOC105347553	F-box/WD repeat-containing protein 5	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318966	LOC105318966	putative defense protein 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331333	LOC105331333	glutamyl aminopeptidase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117684151	LOC117684151	uncharacterized LOC117684151	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322272	LOC105322272	glucokinase regulatory protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274297	LOC136274297	neuropilin-1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117689934	LOC117689934	uncharacterized LOC117689934	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320645	LOC105320645	sodium/potassium/calcium exchanger 5	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347499	LOC105347499	cyclin-dependent kinase 12	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273441	LOC136273441	uncharacterized LOC136273441	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331360	LOC105331360	F-box only protein 15	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682312	LOC117682312	ankyrin repeat domain-containing protein 16-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338803	LOC105338803	putative RNA-binding protein Luc7-like 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340550	LOC105340550	uncharacterized LOC105340550	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346273	LOC105346273	sodium/calcium exchanger 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344588	LOC105344588	eukaryotic translation initiation factor 2-alpha kinase 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320344	LOC105320344	plasma alpha-L-fucosidase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326643	LOC105326643	uncharacterized LOC105326643	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273724	LOC136273724	uncharacterized LOC136273724	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318776	LOC105318776	organic cation transporter protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117686791	LOC117686791	uncharacterized LOC117686791	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348553	LOC105348553	transcription factor HES-2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317530	LOC105317530	THUMP domain-containing protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323530	LOC105323530	uncharacterized LOC105323530	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682277	LOC117682277	E3 ubiquitin-protein ligase TRIM71-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346811	LOC105346811	uncharacterized LOC105346811	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333944	LOC105333944	procollagen galactosyltransferase 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318146	LOC105318146	uncharacterized LOC105318146	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337522	LOC105337522	sperm-associated antigen 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682650	LOC117682650	uncharacterized LOC117682650	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273823	LOC136273823	uncharacterized LOC136273823	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337301	LOC105337301	protein unc-93 homolog A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117691258	LOC117691258	uncharacterized LOC117691258	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117688140	LOC117688140	uncharacterized LOC117688140	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336802	LOC105336802	uncharacterized LOC105336802	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273721	LOC136273721	uncharacterized LOC136273721	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117691250	LOC117691250	uncharacterized LOC117691250	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340524	LOC105340524	leucine-rich repeat-containing protein 72	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348015	LOC105348015	eukaryotic translation initiation factor 6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339055	LOC105339055	centromere protein K	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346776	LOC105346776	uncharacterized LOC105346776	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347839	LOC105347839	uncharacterized LOC105347839	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330898	LOC105330898	dnaJ homolog subfamily C member 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340054	LOC105340054	uncharacterized LOC105340054	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342266	LOC105342266	lysine-specific demethylase 5A-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332029	LOC105332029	uncharacterized LOC105332029	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329080	LOC105329080	calcitonin gene-related peptide type 1 receptor-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333880	LOC105333880	glutathione S-transferase Y1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687352	LOC117687352	uncharacterized LOC117687352	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117680315	LOC117680315	trace amine-associated receptor 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346311	LOC105346311	usherin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322764	LOC105322764	uncharacterized LOC105322764	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338955	LOC105338955	transgelin-3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109617866	LOC109617866	uncharacterized LOC109617866	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331374	LOC105331374	uncharacterized LOC105331374	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136276608	LOC136276608	uncharacterized LOC136276608	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274825	LOC136274825	uncharacterized LOC136274825	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136270944	LOC136270944	uncharacterized LOC136270944	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320633	LOC105320633	NAD-dependent protein deacetylase Sirt6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347831	LOC105347831	uncharacterized LOC105347831	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136275923	LOC136275923	uncharacterized LOC136275923	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117689730	LOC117689730	uncharacterized LOC117689730	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340488	LOC105340488	glutathione S-transferase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345950	LOC105345950	transmembrane protein 26-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272647	LOC136272647	uncharacterized LOC136272647	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343664	LOC105343664	uncharacterized LOC105343664	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271934	LOC136271934	deleted in malignant brain tumors 1 protein-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321094	LOC105321094	forkhead box protein C1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336114	LOC105336114	A disintegrin and metalloproteinase with thrombospondin motifs 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337421	LOC105337421	uncharacterized LOC105337421	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343213	LOC105343213	DNA damage-regulated autophagy modulator protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336751	LOC105336751	uncharacterized LOC105336751	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320312	LOC105320312	arrestin domain-containing protein 17	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274475	LOC136274475	tripartite motif-containing protein 2-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332016	LOC105332016	pescadillo homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687212	LOC117687212	uncharacterized LOC117687212	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117690337	LOC117690337	uncharacterized LOC117690337	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318879	LOC105318879	serine-rich adhesin for platelets	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117692918	LOC117692918	uncharacterized LOC117692918	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321503	LOC105321503	cartilage matrix protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332338	LOC105332338	uncharacterized LOC105332338	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333670	LOC105333670	histone deacetylase 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:109617128	LOC109617128	uncharacterized LOC109617128	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274678	LOC136274678	uncharacterized LOC136274678	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318830	LOC105318830	uncharacterized LOC105318830	misc_RNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339231	LOC105339231	calcium-activated chloride channel regulator 3A-1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348576	LOC105348576	uncharacterized LOC105348576	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117690194	LOC117690194	uncharacterized LOC117690194	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136275433	LOC136275433	uncharacterized LOC136275433	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321930	LOC105321930	piggyBac transposable element-derived protein 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271343	LOC136271343	piggyBac transposable element-derived protein 4-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317467	LOC105317467	olfactory receptor 2AT4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682787	LOC117682787	uncharacterized LOC117682787	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330502	LOC105330502	uncharacterized LOC105330502	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333663	LOC105333663	uncharacterized LOC105333663	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327100	LOC105327100	protein amalgam	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274327	LOC136274327	uncharacterized LOC136274327	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273144	LOC136273144	uncharacterized LOC136273144	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334942	LOC105334942	complement C1q-like protein 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326638	LOC105326638	uncharacterized LOC105326638	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340320	LOC105340320	serine/threonine-protein kinase SBK1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337172	LOC105337172	uncharacterized LOC105337172	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339722	LOC105339722	multiple C2 and transmembrane domain-containing protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274527	LOC136274527	uncharacterized LOC136274527	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345859	LOC105345859	ryncolin-1-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330016	LOC105330016	1,5-anhydro-D-fructose reductase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338597	LOC105338597	UDP-N-acetylglucosamine transferase subunit ALG13	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322425	LOC105322425	uncharacterized LOC105322425	misc_RNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337924	LOC105337924	serine/threonine-protein phosphatase PP1-beta catalytic subunit	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348980	LOC105348980	solute carrier family 15 member 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331163	LOC105331163	uncharacterized LOC105331163	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117687596	LOC117687596	uncharacterized LOC117687596	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338802	LOC105338802	uncharacterized LOC105338802	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320262	LOC105320262	uncharacterized LOC105320262	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117683657	LOC117683657	uncharacterized LOC117683657	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318166	LOC105318166	serine palmitoyltransferase 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320640	LOC105320640	toll-like receptor 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335201	LOC105335201	DNA repair protein complementing XP-A cells homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682080	LOC117682080	ras-like GTP-binding protein Rho1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336769	LOC105336769	uncharacterized LOC105336769	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330484	LOC105330484	ubiquitin carboxyl-terminal hydrolase 9X	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117688577	LOC117688577	uncharacterized LOC117688577	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269702	LOC136269702	interleukin-6 receptor subunit beta-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318381	LOC105318381	otoferlin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323223	LOC105323223	DNA endonuclease RBBP8	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317120	LOC105317120	dual specificity protein phosphatase 22	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335528	LOC105335528	palmitoyltransferase ZDHHC21	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340044	LOC105340044	phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334030	LOC105334030	DNA (cytosine-5)-methyltransferase 3B	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117692237	LOC117692237	uncharacterized LOC117692237	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337120	LOC105337120	probable histone deacetylase 1-B	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344844	LOC105344844	scavenger receptor class F member 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346473	LOC105346473	nuclear envelope integral membrane protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105324377	LOC105324377	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330195	LOC105330195	max dimerization protein 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336962	LOC105336962	E3 ubiquitin-protein ligase TRIM71-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321411	LOC105321411	uncharacterized LOC105321411	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320971	LOC105320971	cyclic GMP-AMP synthase-like receptor	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336992	LOC105336992	probable tubulin polyglutamylase ttll-15	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318227	LOC105318227	uncharacterized LOC105318227	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332091	LOC105332091	uncharacterized LOC105332091	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338656	LOC105338656	uncharacterized LOC105338656	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105319878	LOC105319878	uncharacterized LOC105319878	misc_RNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343325	LOC105343325	tripartite motif-containing protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322934	LOC105322934	uncharacterized LOC105322934	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136275329	LOC136275329	FAS-associated factor 2-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318494	LOC105318494	glutamate [NMDA] receptor subunit 1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338480	LOC105338480	replication protein A 32 kDa subunit-A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333151	LOC105333151	1,4-alpha-glucan-branching enzyme	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320872	LOC105320872	sodium-dependent noradrenaline transporter	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136269682	LOC136269682	uncharacterized LOC136269682	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340500	LOC105340500	nuclease EXOG, mitochondrial	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105337708	LOC105337708	solute carrier family 25 member 45	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331440	LOC105331440	receptor-type tyrosine-protein phosphatase epsilon	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329659	LOC105329659	epimerase family protein SDR39U1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345927	LOC105345927	zinc finger protein ubi-d4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347968	LOC105347968	phospholipid-transporting ATPase ABCA3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325231	LOC105325231	dual specificity protein phosphatase 1-B	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331126	LOC105331126	glycine receptor subunit alpha-3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105346989	LOC105346989	uncharacterized protein PF3D7_1120000	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343340	LOC105343340	neuronal acetylcholine receptor subunit alpha-3-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117680966	LOC117680966	uncharacterized LOC117680966	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136275534	LOC136275534	IgGFc-binding protein-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330724	LOC105330724	tubulin beta chain	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328052	LOC105328052	uncharacterized protein MCAP_0864-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105320320	LOC105320320	uncharacterized LOC105320320	misc_RNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339285	LOC105339285	V-type proton ATPase subunit e 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334421	LOC105334421	PCNA-associated factor	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344935	LOC105344935	uncharacterized LOC105344935	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325725	LOC105325725	uncharacterized protein DDB_G0284459	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136275740	LOC136275740	uncharacterized LOC136275740	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136276465	LOC136276465	uncharacterized protein KIAA1958-like	protein_coding	GCF_963853765.1-RS_2024_06
